Date,Close,Volume
0,22.77,881015100.0
1,20.49,315769120.0
2,19.38,149701760.0
3,18.91,77202752.0
4,18.92,49799424.0
5,19.34,74510624.0
6,17.93,45076456.0
7,18.15,29547314.0
8,17.87,13601628.0
9,17.15,30521794.0
10,17.65,21994928.0
11,17.54,13029174.0
12,17.39,15359099.0
13,17.5,10124089.0
14,18.15,48190208.0
15,18.55,40585560.0
16,18.67,48075332.0
17,18.05,56266780.0
18,16.73,93951528.0
19,16.93,26191410.0
20,17.44,23851480.0
21,17.25,24309886.0
22,18.07,39846044.0
23,17.61,25032338.0
24,17.55,16602652.0
25,17.62,17797030.0
26,17.4,13606533.0
27,17.31,16350561.0
28,17.43,9668161.0
29,17.62,11157618.0
30,17.76,20179992.0
31,18.1,19818334.0
32,17.67,17418040.0
33,17.72,8434667.0
34,17.55,11916460.0
35,17.57,16545412.0
36,17.46,16057217.0
37,17.5,9691963.0
38,18.0,25001662.0
39,18.2,37381724.0
40,17.62,27948158.0
41,18.09,11846631.0
42,18.2,28012856.0
43,18.02,16409428.0
44,18.19,20252760.0
45,19.14,86528592.0
46,20.27,208813664.0
47,20.69,107568072.0
48,20.1,75102520.0
49,20.79,65141292.0
50,21.62,150741216.0
51,21.58,59257648.0
52,21.49,45312128.0
53,21.01,65443672.0
54,20.94,47543888.0
55,20.7,50214844.0
56,22.58,129206184.0
57,22.65,92950192.0
58,22.18,48419984.0
59,23.08,83466208.0
60,22.66,52055340.0
61,22.01,60927472.0
62,21.87,36345980.0
63,20.96,55854328.0
64,20.54,37097160.0
65,20.64,23135822.0
66,20.83,16978050.0
67,21.0,12000395.0
68,21.38,24537302.0
69,21.38,12903255.0
70,21.45,12261498.0
71,21.63,22706742.0
72,21.5,16532277.0
73,21.35,16642653.0
74,21.78,35231404.0
75,21.85,21398574.0
76,22.27,33868040.0
77,22.12,16526508.0
78,21.39,27414832.0
79,21.39,0.0
80,20.86,18901078.0
81,20.55,19530216.0
82,20.72,13689703.0
83,21.29,10253366.0
84,20.84,13300327.0
85,20.66,19609280.0
86,20.92,13997331.0
87,21.45,18530888.0
88,21.5,18764044.0
89,21.29,10876730.0
90,21.94,37299624.0
91,22.23,55923744.0
92,22.21,27312492.0
93,22.39,30165376.0
94,21.59,32414352.0
95,21.79,23041992.0
96,22.0,40058820.0
97,22.79,115338432.0
98,22.41,34908180.0
99,22.81,30555278.0
100,22.72,33163262.0
101,23.25,46020940.0
102,22.75,44364896.0
103,22.78,20073764.0
104,22.28,32116466.0
105,22.28,0.0
106,22.0,19137340.0
107,22.15,12830141.0
108,22.16,8997149.0
109,21.75,14243729.0
110,21.45,13661134.0
111,21.64,11398169.0
112,21.87,5857918.0
113,21.46,7118138.0
114,21.54,6177656.0
115,21.6,5114121.0
116,21.79,25040626.0
117,21.39,13094390.0
118,21.24,6325388.0
119,21.27,7635700.0
120,21.7,8264243.0
121,21.34,10320115.0
122,20.86,13833252.0
123,20.17,17293344.0
124,19.49,22691146.0
125,19.51,9050800.0
126,17.82,14311045.0
127,17.99,12382047.0
128,18.71,11193580.0
129,18.5,6663233.0
130,18.42,5209236.0
131,17.47,12076050.0
132,17.88,7913767.0
133,17.76,4905015.0
134,18.18,6536964.0
135,18.74,11015353.0
136,18.901,16454066.0
137,18.519,7506607.0
138,18.67,2433979.0
139,18.137,4150607.0
140,18.217,3590203.0
141,18.368,1850370.0
142,18.217,1958431.0
143,18.087,4551996.0
144,18.388,4592098.0
145,18.217,4815215.0
146,17.845,5161296.0
147,18.036,4755849.0
148,17.906,3698797.0
149,17.704,4228093.0
150,17.674,2316359.0
151,17.483,3235157.0
152,18.097,4268700.0
153,18.257,6202614.0
154,18.087,2976648.0
155,17.473,3679524.0
156,18.056,4401669.0
157,18.066,3061499.0
158,17.684,6718329.0
159,17.604,2287296.0
160,17.433,3744129.0
161,16.85,12402336.0
162,16.89,5327866.0
163,17.272,3507472.0
164,17.141,4226003.0
165,17.192,2916207.0
166,17.101,1580915.0
167,17.091,1220130.0
168,16.95,2284101.0
169,16.85,1953624.0
170,16.85,0.0
171,15.261,8127062.0
172,15.342,5251546.0
173,14.286,5246547.0
174,13.965,7692011.0
175,14.487,7299910.0
176,14.588,4205679.0
177,13.854,7257477.0
178,13.924,3690350.0
179,13.653,2363879.0
180,13.13,6564758.0
181,12.467,3779959.0
182,13.713,12034246.0
183,15.08,36769160.0
184,14.98,26194044.0
185,14.9,6708971.0
186,15.08,4888232.0
187,14.9,4191079.0
188,14.638,4348031.0
189,14.94,3464567.0
190,15.0,4120539.0
191,14.678,1948376.0
192,14.538,2670124.0
193,13.522,8840765.0
194,13.572,6159259.0
195,13.673,4972141.0
196,13.572,2942289.0
197,13.412,1677704.0
198,13.512,1418319.0
199,14.427,15318303.0
200,14.879,36405904.0
201,15.261,12259906.0
202,15.271,15052221.0
203,15.513,14685436.0
204,15.483,9153029.0
205,15.241,6994076.0
206,15.211,4842739.0
207,15.734,10441713.0
208,15.744,12473481.0
209,15.714,6953955.0
210,15.995,9170245.0
211,16.026,9920277.0
212,15.935,7503831.0
213,15.503,8935979.0
214,15.573,7570782.0
215,15.563,3898211.0
216,15.513,4266480.0
217,15.171,5313132.0
218,15.171,3280185.0
219,14.769,5713251.0
220,14.578,4478457.0
221,14.658,2470354.0
222,14.92,2392876.0
223,14.658,1823333.0
224,14.276,3282810.0
225,14.417,3212864.0
226,13.965,3246921.0
227,13.944,2044751.0
228,14.065,1900907.0
229,14.055,4052040.0
230,14.135,1789800.0
231,13.894,6688560.0
232,13.673,2870313.0
233,13.351,3384842.0
234,13.2,2534947.0
235,13.261,2823388.0
236,13.643,3701879.0
237,13.643,0.0
238,12.869,5625732.0
239,12.487,4354443.0
240,12.718,4302219.0
241,11.914,4148706.0
242,12.165,10076823.0
243,11.893,3944648.0
244,12.024,4661983.0
245,13.13,6958772.0
246,12.989,11190681.0
247,12.919,4842575.0
248,11.803,7808299.0
249,12.115,3618292.0
250,12.064,2343392.0
251,13.2,18567270.0
252,12.989,10403470.0
253,13.271,7144350.0
254,13.21,4508111.0
255,12.939,4698709.0
256,13.361,7371345.0
257,13.281,5530426.0
258,13.532,7769533.0
259,13.472,3008148.0
260,13.351,2930594.0
261,13.231,2904141.0
262,12.929,3570021.0
263,13.1,3112705.0
264,13.361,4812920.0
265,13.472,9920602.0
266,13.954,11117315.0
267,14.296,25974374.0
268,14.497,11487366.0
269,14.055,12132862.0
270,13.773,9635572.0
271,14.236,6056873.0
272,14.397,34790948.0
273,14.96,31397262.0
274,15.402,37929328.0
275,15.322,24840642.0
276,15.282,13851833.0
277,14.9,12374242.0
278,15.04,5472677.0
279,14.548,10203874.0
280,14.638,5920391.0
281,14.578,4612307.0
282,13.944,10821155.0
283,13.954,6111501.0
284,13.613,7013117.0
285,13.552,4182175.0
286,13.995,4580683.0
287,13.975,5960682.0
288,13.975,1714160.0
289,14.377,5363253.0
290,14.377,3817903.0
291,14.035,5527459.0
292,14.176,3474730.0
293,13.954,3718774.0
294,14.035,2590385.0
295,14.005,2055027.0
296,13.763,3425243.0
297,13.874,4157257.0
298,13.904,1483984.0
299,13.753,1150831.0
300,13.482,3000724.0
301,13.412,1888661.0
302,13.633,2474219.0
303,13.985,3455137.0
304,13.975,4195144.0
305,13.874,1768256.0
306,13.804,1377248.0
307,13.854,1899059.0
308,13.562,2555565.0
309,13.562,4757423.0
310,13.371,3401968.0
311,12.869,4204330.0
312,13.11,4316923.0
313,12.828,2240261.0
314,13.321,5064491.0
315,13.05,2760599.0
316,13.06,1816990.0
317,12.849,1790867.0
318,12.818,1950706.0
319,12.778,1850833.0
320,12.376,3213870.0
321,12.396,2216528.0
322,12.396,0.0
323,12.064,3666949.0
324,12.145,1625483.0
325,11.924,1493297.0
326,12.487,5307846.0
327,12.527,4845251.0
328,12.356,1723536.0
329,12.366,1817685.0
330,12.446,919140.0
331,12.276,1062173.0
332,12.235,1441178.0
333,12.165,936004.0
334,12.456,1928949.0
335,12.396,1656805.0
336,12.366,1171823.0
337,12.929,6120661.0
338,14.226,36305396.0
339,14.186,25825960.0
340,14.377,10495487.0
341,14.176,5363858.0
342,13.834,11015702.0
343,13.733,5446816.0
344,13.914,2085403.0
345,13.924,2384229.0
346,13.623,4971454.0
347,13.653,1770461.0
348,13.854,2264675.0
349,13.763,1660948.0
350,13.381,3568034.0
351,13.281,3135936.0
352,13.231,3530307.0
353,13.321,1965450.0
354,13.412,1663603.0
355,13.361,1900684.0
356,13.542,2927219.0
357,13.462,1923865.0
358,13.169,4588326.0
359,13.119,1714820.0
360,12.967,2266825.0
361,13.109,1191994.0
362,13.038,1647694.0
363,13.099,691681.0
364,13.099,796060.0
365,13.018,859547.0
366,12.816,2614879.0
367,12.866,988288.0
368,12.897,832338.0
369,13.068,1561789.0
370,13.018,600208.0
371,12.927,661527.0
372,12.776,1337266.0
373,12.685,755549.0
374,12.675,815059.0
375,12.766,651136.0
376,12.695,860188.0
377,12.776,852475.0
378,12.644,495455.0
379,12.796,1766700.0
380,12.866,2047707.0
381,13.27,10902889.0
382,13.139,1585718.0
383,13.018,1401448.0
384,13.472,5976911.0
385,13.341,4567998.0
386,13.169,2149182.0
387,13.159,815102.0
388,13.199,1205174.0
389,13.25,1108776.0
390,13.179,1596937.0
391,12.887,2233664.0
392,12.937,1473878.0
393,12.776,1469960.0
394,12.826,946130.0
395,12.776,1001404.0
